# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
    7  17:05:27.27  -34:33:50.9  -1.268  0.067  14.657   117  0.643188  0.171  0.939  78.5
   27  17:06:58.67  -34:59:07.7  -0.397  0.053  15.538    64  0.440602  0.245  0.938  56.8
   36  17:07:41.14  -34:18:33.7  -1.477  0.049  14.421    64  0.769114  0.157  0.933  82.2
   64  17:08:58.02  -33:40:19.8  -1.809  0.116  14.808    65  0.737811  0.143  0.915  46.3
  108  17:10:26.66  -35:14:50.0  -1.302  0.022  14.573    65  0.632416  0.181  0.924  91.8
  117  17:10:52.14  -35:22:49.1  -1.663  0.075  15.923    62  0.513163  0.403  0.950  70.1
  133  17:11:21.21  -35:34:40.8  -1.688  0.034  14.564    65  0.620410  0.351  0.951  81.4
  161  17:11:59.10  -35:58:54.0  -1.592  0.060  15.337    64  0.514626  0.249  0.889  45.1
  167  17:12:12.20  -36:11:32.8  -1.284  0.036  14.581    60  0.603413  0.195  0.937  81.3
  171  17:12:18.01  -34:57:21.3  -1.446  0.032  14.349    65  0.536663  0.329  0.931  126.6
  186  17:12:30.76  -36:05:01.7  -1.037  0.154  14.868    56  0.531424  0.257  0.920  39.1
  187  17:12:30.97  -36:07:32.2  -1.562  0.050  15.169   123  0.506835  0.305  0.966  86.2
  206  17:12:53.90  -36:17:39.5  -2.038  0.077  14.088    66  0.792676  0.216  0.930  108.4
  217  17:13:07.67  -36:00:05.6  -1.742  0.072  13.657   129  0.788726  0.198  0.962  77.9
  224  17:13:17.43  -33:43:47.9  -1.450  0.041  14.264    65  0.639022  0.251  0.930  94.3
  230  17:13:20.74  -36:06:51.9  -1.344  0.059  14.940    38  0.528635  0.277  0.918  84.3
  233  17:13:24.93  -33:20:07.2  -1.234  0.038  14.485    65  0.605774  0.198  0.932  64.4
  238  17:13:33.71  -33:06:26.9  -1.378  0.026  14.499    63  0.452988  0.357  0.940  138.3
  253  17:13:48.33  -35:31:32.5  -1.251  0.030  15.170    59  0.631524  0.191  0.919  57.3
  255  17:13:51.96  -32:30:27.6  -1.403  0.028  14.381    66  0.538044  0.307  0.944  114.6
  258  17:13:53.20  -35:39:44.4  -1.318  0.036  15.389    58  0.466336  0.299  0.893  65.4
  263  17:14:00.41  -35:51:32.1  -1.214  0.025  14.724   129  0.601104  0.240  0.962  109.7
  268  17:14:02.79  -36:25:58.8  -1.234  0.044  14.131    66  0.628424  0.189  0.941  80.0
  275  17:14:06.05  -35:37:39.0  -1.768  0.104  14.910    65  0.778582  0.183  0.892  63.7
  277  17:14:07.01  -35:00:56.9  -1.334  0.048  15.217    64  0.439504  0.378  0.924  103.9
  279  17:14:10.21  -35:09:50.8  -1.182  0.048  14.783    65  0.565293  0.255  0.925  71.5
